epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4755,0.75033,3.69028,1.22841,0.57588,0.13464,0.10733,0.07385,1.26512,2.46486,1.63647,9.20802e-05,9.20802e-05,9.20802e-05
2,56.0961,0.63343,2.52044,1.10892,0.44407,0.23005,0.15264,0.10277,1.37038,2.10447,1.73332,0.000181089,0.000181089,0.000181089
3,79.9811,0.5967,2.18131,1.08035,0.47038,0.29623,0.20078,0.13736,1.30805,2.0805,1.66526,0.000266428,0.000266428,0.000266428
4,107.621,0.54518,1.9763,1.0501,0.38693,0.35157,0.25923,0.17281,1.39554,1.8833,1.83366,0.000261487,0.000261487,0.000261487
5,134.395,0.50075,1.81529,1.0254,0.51812,0.39579,0.37879,0.28047,1.32231,1.75241,1.69517,0.000255982,0.000255982,0.000255982
6,158.27,0.48165,1.6657,1.0153,0.59309,0.46578,0.49169,0.37006,1.31772,1.45228,1.71419,0.000250478,0.000250478,0.000250478
7,180.756,0.4717,1.54239,1.01261,0.70394,0.51494,0.60141,0.44172,1.33769,1.38406,1.76667,0.000244974,0.000244974,0.000244974
8,203.318,0.43941,1.43808,0.99285,0.6801,0.55087,0.60506,0.43704,1.35314,1.41067,1.71271,0.000239469,0.000239469,0.000239469
9,226.5,0.43617,1.34362,0.996,0.735,0.53867,0.67331,0.51582,1.30277,1.3431,1.67851,0.000233965,0.000233965,0.000233965
10,249.553,0.42413,1.25888,0.98852,0.75597,0.62282,0.69769,0.51809,1.38108,1.24446,1.73464,0.00022846,0.00022846,0.00022846
11,272.952,0.41963,1.21568,0.98189,0.78135,0.64048,0.75514,0.56448,1.35763,1.20893,1.73544,0.000222956,0.000222956,0.000222956
12,295.862,0.40972,1.15255,0.97705,0.76508,0.72027,0.80529,0.62571,1.32114,1.14825,1.67728,0.000217452,0.000217452,0.000217452
13,318.761,0.4022,1.10361,0.97276,0.81582,0.72433,0.79783,0.60283,1.32421,1.09598,1.71319,0.000211947,0.000211947,0.000211947
14,341.928,0.41246,1.06229,0.97792,0.69064,0.78249,0.77771,0.60007,1.30121,1.25801,1.6914,0.000206443,0.000206443,0.000206443
15,364.859,0.39006,1.04206,0.96762,0.70891,0.73953,0.75807,0.57894,1.34525,1.23508,1.69018,0.000200938,0.000200938,0.000200938
16,387.981,0.38719,1.01053,0.9688,0.77997,0.73665,0.78049,0.61636,1.31531,1.15332,1.67481,0.000195434,0.000195434,0.000195434
17,411.171,0.38395,0.96764,0.96194,0.78994,0.73164,0.78929,0.59711,1.3359,1.17256,1.70014,0.00018993,0.00018993,0.00018993
18,434.328,0.38217,0.95389,0.96393,0.76023,0.7721,0.81378,0.62584,1.31006,1.14321,1.67418,0.000184425,0.000184425,0.000184425
19,457.313,0.36713,0.91024,0.9558,0.81232,0.78195,0.84283,0.64885,1.29838,1.04669,1.70353,0.000178921,0.000178921,0.000178921
20,480.118,0.36491,0.90424,0.95518,0.74941,0.80148,0.82976,0.6343,1.30693,1.11036,1.69163,0.000173416,0.000173416,0.000173416
21,503.025,0.36945,0.87912,0.95511,0.78719,0.7747,0.82395,0.65031,1.26925,1.12194,1.64012,0.000167912,0.000167912,0.000167912
22,525.888,0.36185,0.84339,0.9509,0.76022,0.82293,0.8181,0.60721,1.29724,1.18246,1.66492,0.000162408,0.000162408,0.000162408
23,548.79,0.35314,0.83169,0.94524,0.81904,0.78139,0.8357,0.65687,1.27622,1.11115,1.6301,0.000156903,0.000156903,0.000156903
24,572.017,0.35869,0.80584,0.95099,0.80907,0.72881,0.79694,0.57732,1.37344,1.27681,1.71225,0.000151399,0.000151399,0.000151399
25,595.219,0.35468,0.82251,0.95114,0.86175,0.75674,0.83857,0.66808,1.25387,1.12372,1.62503,0.000145894,0.000145894,0.000145894
26,618.161,0.35096,0.78705,0.9473,0.81614,0.80055,0.83406,0.657,1.2544,1.07454,1.64387,0.00014039,0.00014039,0.00014039
27,641.533,0.35115,0.78004,0.94572,0.8392,0.75737,0.83468,0.64997,1.25746,1.09323,1.60889,0.000134886,0.000134886,0.000134886
28,664.548,0.3483,0.75431,0.94332,0.87548,0.72583,0.83235,0.64247,1.28169,1.17851,1.6454,0.000129381,0.000129381,0.000129381
